County,Transaction Year,New,New,New,Used,Used,Used
,,Battery Electric Vehicle (BEV),Hydrogen Powered Vehicle,Plug-in Hybrid Electric Vehicle (PHEV),Battery Electric Vehicle (BEV),Hydrogen Powered Vehicle,Plug-in Hybrid Electric Vehicle (PHEV)
Whitman,2021,19,0,9,49,0,48
Whitman,2022,34,0,6,71,0,56
Whitman,2023,45,0,14,116,0,66
Yakima,2015,6,0,7,9,0,27
Yakima,2016,9,0,5,22,0,42
Yakima,2017,11,0,15,45,0,55
Yakima,2018,17,0,16,56,0,76
Yakima,2019,16,0,12,83,0,95
Yakima,2020,35,0,9,108,0,107
Yakima,2021,60,0,24,177,0,120
Yakima,2022,96,0,34,242,0,161
Yakima,2023,105,0,45,314,0,192
